"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"67",0,1.62967805651311,0.304,0.039,0,"3","Ptprcap"
"68",0,1.46931566985728,0.261,0.032,0,"3","Trbc1"
"69",2.06878844478964e-298,1.48156627688425,0.268,0.043,4.84096496080776e-294,"3","Ets1"
"70",2.50349974499481e-245,0.94599155189431,0.836,0.614,5.85818940328785e-241,"3","Rpl13a"
"71",1.20016285748763e-205,1.14464316986252,0.685,0.393,2.80838108652106e-201,"3","Tmsb10"
"72",2.5090778783852e-196,0.984606184351944,0.752,0.525,5.87124223542137e-192,"3","Rps15a"
"73",7.0074399843924e-180,1.354310790929,0.272,0.069,1.63974095634782e-175,"3","Pdcd4"
"74",6.29998812871105e-155,1.29900457302818,0.259,0.071,1.47419722211839e-150,"3","AW112010"
"75",2.86745815038317e-138,1.07030889140732,0.621,0.406,6.70985207189661e-134,"3","Gm9846"
"76",5.72832301204555e-136,1.21222347273553,0.304,0.103,1.34042758481866e-131,"3","Rac2"
"77",1.40970151186158e-130,1.26733609512672,0.254,0.076,3.2987015377561e-126,"3","Ms4a6b"
"78",7.01744942042084e-107,1.05025225806623,0.408,0.197,1.64208316437848e-102,"3","Ptprc"
"79",2.16936227445318e-102,1.12447918361358,0.361,0.167,5.07630772222044e-98,"3","Shisa5"
"80",4.02257664798594e-97,1.0185684213612,0.454,0.258,9.4128293562871e-93,"3","Gm10275"
"81",0,2.77479740193268,0.588,0.054,0,"4","Hpgd"
"82",0,2.74496819553457,0.653,0.07,0,"4","Ly6c1"
"83",0,2.72630295021582,0.554,0.04,0,"4","Lyve1"
"84",0,2.66248607078491,0.454,0.022,0,"4","Tmem100"
"85",0,2.65767953552846,0.753,0.101,0,"4","Ly6a"
"86",0,2.63040725567717,0.418,0.014,0,"4","Gpihbp1"
"87",0,2.61112945078064,0.51,0.035,0,"4","Calcrl"
"88",0,2.5564965965004,0.508,0.023,0,"4","Ramp2"
"89",0,2.54414847716109,0.471,0.026,0,"4","Ptprb"
"90",0,2.44392150041924,0.474,0.025,0,"4","Egfl7"
"91",0,2.43067316675274,0.473,0.04,0,"4","Ctla2a"
"92",0,2.35837675763712,0.398,0.016,0,"4","Tspan7"
"93",0,2.3324540545964,0.514,0.059,0,"4","Sdpr"
"94",0,2.2307632077933,0.366,0.025,0,"4","Thbd"
"95",0,2.16383983547496,0.388,0.026,0,"4","Pecam1"
"96",0,2.10527234819368,0.284,0.008,0,"4","Clec14a"
"97",0,2.01936058233763,0.306,0.017,0,"4","Cdh5"
"98",0,1.92004181272378,0.454,0.086,0,"4","Gpr116"
"99",0,1.90407754433139,0.331,0.034,0,"4","Slc43a3"
"100",0,1.87843261733815,0.375,0.052,0,"4","Id3"
"101",0,2.98205493473501,0.854,0.089,0,"5","Sec14l3"
"102",0,2.89167556060573,0.471,0.012,0,"5","AU040972"
"103",0,2.88608777605257,0.645,0.012,0,"5","Ccdc153"
"104",0,2.74837397055328,0.609,0.017,0,"5","Dynlrb2"
"105",0,2.67094502049356,0.538,0.009,0,"5","Tmem212"
"106",0,2.3836681448879,0.462,0.006,0,"5","Fam183b"
"107",0,2.33397002141784,0.592,0.056,0,"5","Aldh1a1"
"108",0,2.33390323341914,0.636,0.07,0,"5","Tppp3"
"109",0,2.30119204052036,0.433,0.007,0,"5","Rsph1"
"110",0,2.28685290418079,0.418,0.01,0,"5","Ccdc39"
"111",0,2.24998539727092,0.401,0.006,0,"5","Riiad1"
"112",0,2.24243313634967,0.407,0.005,0,"5","Sntn"
"113",0,2.23117868778028,0.431,0.008,0,"5","1700009P17Rik"
"114",0,2.10571016121585,0.402,0.013,0,"5","Fhad1"
"115",0,2.07434529203089,0.362,0.005,0,"5","1110017D15Rik"
"116",0,2.00828134181465,0.384,0.035,0,"5","Cxcl17"
"117",0,2.00592182495237,0.329,0.008,0,"5","Pcp4l1"
"118",0,1.99886648940056,0.352,0.004,0,"5","1700016K19Rik"
"119",0,1.99168811574563,0.336,0.006,0,"5","Ccdc19"
"120",0,1.9892902564638,0.355,0.012,0,"5","Traf3ip1"
"121",0,2.96865234582102,0.312,0.014,0,"6","Ccl8"
"122",0,2.22835022072177,0.444,0.029,0,"6","F13a1"
"123",0,2.14659813941766,0.5,0.052,0,"6","Pf4"
"124",0,1.73040051174717,0.414,0.053,0,"6","Ms4a7"
